"core","empty_core_wt_g","soil_g","water_added1_mL","clay_oa_added_g","dry_clay_added_g","oa_solution_added_mL","water_added2_mL","headspace_cm3"
1,316.3,60.3,5,10.9,,,0,428
2,315.9,60.4,5,12.9,,,0,428
3,316.3,60.7,5,11.2,,,0,428
4,316.2,60.7,5,11.8,,,0,428
5,316,60.1,5,12.7,,,0,428
6,315.1,60.6,5,15,,,15,428
7,315.5,60.7,5,13.4,,,15,428
8,315.7,60.5,5,13.2,,,15,428
9,315.9,60.3,5,12.5,,,15,428
10,315.2,60.5,5,12.2,,,15,428
11,315.4,60.1,5,13.8,,,0,428
12,315.9,60.1,5,12.8,,,0,428
13,316.4,60.5,5,14,,,0,428
14,315,60.5,5,11.1,,,0,428
15,315.9,60.1,5,12.9,,,0,428
16,315.3,60.6,5,12.6,,,,428
17,290.5,60.6,5,12.9,,,,428
18,315.2,60.3,5,14,,,,428
19,317.1,60.2,5,13.3,,,,428
20,315.4,60.4,5,14.3,,,,428
21,316.8,60.6,5,0,,,5,428
22,314.9,60.4,5,0,,,5,428
23,316.4,60.5,5,0,,,5,428
24,315.8,60.6,5,0,,,5,428
25,291.1,60.4,5,0,,,5,428
26,291.1,60.6,5,0,,,20,428
27,291,60.3,5,0,,,20,428
28,316,60.1,5,0,,,20,428
29,291.6,60.6,5,0,,,20,428
30,291.9,60.1,5,0,,,20,428
31,290.7,60.1,5,5,,,,428
32,289.9,60.4,5,5,,,,428
33,290.3,60.3,5,5,,,,428
34,290.8,60.6,5,5,,,,428
35,290.9,60.4,5,5,,,,428
36,291.2,60.2,5,0,,,5,428
37,316.3,60.1,5,0,,,5,428
38,315.4,60.2,5,0,,,5,428
39,315.6,60.3,5,0,,,5,428
40,318.3,60.3,5,0,,,5,428
41,318.8,60.5,5,,5,16,,428
42,317.6,60.7,5,,5,16,,428
43,323.7,60.4,5,,4.9,16,,428
44,317.6,60.3,5,,5,16,,428
45,317.8,60.1,5,,5,16,,428
