"core","weoc_rep","tray","sample_code","position"
31,"a",1,"A","A9"
31,"b",1,"A","A10"
31,"c",1,"A","A11"
32,"a",1,"B","A12"
32,"b",1,"B","B1"
32,"c",1,"B","B2"
33,"a",1,"C","B5"
33,"b",1,"C","B6"
33,"c",1,"C","B7"
34,"a",1,"D","B8"
34,"b",1,"D","B9"
34,"c",1,"D","B10"
35,"a",1,"E","C1"
35,"b",1,"E","C2"
35,"c",1,"E","C3"
11,"a",1,"F","C4"
11,"b",1,"F","C5"
11,"c",1,"F","C6"
12,"a",1,"G","C9"
12,"b",1,"G","C10"
12,"c",1,"G","C11"
13,"a",1,"H","C12"
13,"b",1,"H","D1"
13,"c",1,"H","D2"
14,"a",1,"I","D5"
14,"b",1,"I","D6"
14,"c",1,"I","D7"
15,"a",1,"J","D8"
15,"b",1,"J","D9"
15,"c",1,"J","D10"
1,"a",2,"A","A9"
1,"b",2,"A","A10"
1,"c",2,"A","A11"
2,"a",2,"B","A12"
2,"b",2,"B","B1"
2,"c",2,"B","B2"
3,"a",2,"C","B5"
3,"b",2,"C","B6"
3,"c",2,"C","B7"
4,"a",2,"D","B8"
4,"b",2,"D","B9"
4,"c",2,"D","B10"
5,"a",2,"E","C1"
5,"b",2,"E","C2"
5,"c",2,"E","C3"
6,"a",2,"F","C4"
6,"b",2,"F","C5"
6,"c",2,"F","C6"
7,"a",2,"G","C9"
7,"b",2,"G","C10"
7,"c",2,"G","C11"
8,"a",2,"H","C12"
8,"b",2,"H","D1"
8,"c",2,"H","D2"
9,"a",2,"I","D5"
9,"b",2,"I","D6"
9,"c",2,"I","D7"
10,"a",2,"J","D8"
10,"b",2,"J","D9"
10,"c",2,"J","D10"
16,"a",3,"A","A9"
16,"b",3,"A","A10"
16,"c",3,"A","A11"
17,"a",3,"B","A12"
17,"b",3,"B","B1"
17,"c",3,"B","B2"
18,"a",3,"C","B5"
18,"b",3,"C","B6"
18,"c",3,"C","B7"
19,"a",3,"D","B8"
19,"b",3,"D","B9"
19,"c",3,"D","B10"
20,"a",3,"E","C1"
20,"b",3,"E","C2"
20,"c",3,"E","C3"
21,"a",4,"A","A9"
21,"b",4,"A","A10"
21,"c",4,"A","A11"
22,"a",4,"B","A12"
22,"b",4,"B","B1"
22,"c",4,"B","B2"
23,"a",4,"C","B5"
23,"b",4,"C","B6"
23,"c",4,"C","B7"
24,"a",4,"D","B8"
24,"b",4,"D","B9"
24,"c",4,"D","B10"
25,"a",4,"E","C1"
25,"b",4,"E","C2"
25,"c",4,"E","C3"
26,"a",4,"F","C4"
26,"b",4,"F","C5"
26,"c",4,"F","C6"
27,"a",4,"G","C9"
27,"b",4,"G","C10"
27,"c",4,"G","C11"
28,"a",4,"H","C12"
28,"b",4,"H","D1"
28,"c",4,"H","D2"
29,"a",4,"I","D5"
29,"b",4,"I","D6"
29,"c",4,"I","D7"
30,"a",4,"J","D8"
30,"b",4,"J","D9"
30,"c",4,"J","D10"
36,"a",5,"A","A9"
36,"b",5,"A","A10"
36,"c",5,"A","A11"
37,"a",5,"B","A12"
37,"b",5,"B","B1"
37,"c",5,"B","B2"
38,"a",5,"C","B5"
38,"b",5,"C","B6"
38,"c",5,"C","B7"
39,"a",5,"D","B8"
39,"b",5,"D","B9"
39,"c",5,"D","B10"
40,"a",5,"E","C1"
40,"b",5,"E","C2"
40,"c",5,"E","C3"
41,"a",5,"F","C4"
41,"b",5,"F","C5"
41,"c",5,"F","C6"
42,"a",5,"G","C9"
42,"b",5,"G","C10"
42,"c",5,"G","C11"
43,"a",5,"H","C12"
43,"b",5,"H","D1"
43,"c",5,"H","D2"
44,"a",5,"I","D5"
44,"b",5,"I","D6"
44,"c",5,"I","D7"
45,"a",5,"J","D8"
45,"b",5,"J","D9"
45,"c",5,"J","D10"
