"core","RC13","D13C_calc","pCO2_ppm","umol_CO2C","umol_12CO2C","umol_13CO2C","type","treatment"
"1",0.0183242635810456,630.707802887393,18398.155,45.761,44.9375524443232,0.823447555676843,"desorption","1-time-zero"
"10",0.0167262566175986,488.498408614271,14241.805,35.423,34.8402529879023,0.582747012097705,"desorption","2-wetting"
"11",0.0106425472963302,-52.9013707991312,67.395,0.168,0.166230879997516,0.00176912000248414,"desorption","3-drying"
"12",0.010662792836586,-51.0996852731146,59.265,0.147,0.145449106311138,0.00155089368886224,"desorption","3-drying"
"13",0.0105996155032645,-56.7219450685712,363.175000000001,0.903,0.893528936828576,0.00947106317142354,"desorption","3-drying"
"14",0.010681709125463,-49.4162921186289,179.264999999998,0.446,0.441286308016716,0.00471369198328403,"desorption","3-drying"
"15",0.0106313434277473,-53.8984223772053,-2.52500000000009,-0.006,-0.00593688295837913,-6.31170416208696e-05,"desorption","3-drying"
"16",0.0173482262021373,543.848554074688,22890.675,56.936,55.9651047041658,0.970895295834161,"desorption","4-drying-rewetting"
"17",0.0166484643147774,481.575537490204,23812.695,59.229,58.2590758546224,0.969924145377597,"desorption","4-drying-rewetting"
"18",0.0179889790416076,600.870253769478,21529.295,53.549,52.6027305820285,0.94626941797145,"desorption","4-drying-rewetting"
"19",0.0174345393752487,551.529712133906,22984.315,57.169,56.1893643153734,0.979635684626565,"desorption","4-drying-rewetting"
"2",0.0194379187170097,729.8138931218,21571.085,53.653,52.6299826746917,1.02301732530829,"desorption","1-time-zero"
"20",0.018270325901978,625.907795851029,21988.115,52.868,51.9194153607195,0.948584639280512,"desorption","4-drying-rewetting"
"21",0.0106319827946573,-53.8415240137642,26563.655,59.464,58.8384308159007,0.625569184099291,"control","1-time-zero"
"22",0.0106328360113968,-53.7655947853658,15667.265,40.917,40.486513540847,0.430486459153023,"control","1-time-zero"
"23",0.0106018112155295,-56.5265448492027,21397.015,53.22,52.6616906969404,0.558309303059566,"control","1-time-zero"
"24",0.0106344000977609,-53.6264040437012,20552.175,51.119,50.5811003415826,0.537899658417381,"control","1-time-zero"
"25",0.0106408080945358,-53.0561453647986,24126.485,53.008,52.4498907776556,0.558109222344392,"control","1-time-zero"
"26",0.0106189478518851,-55.0015260403053,21417.065,49.719,49.1965840395927,0.522415960407315,"control","2-wetting"
"26",0.0106189478518851,-55.0015260403053,21407.885,49.698,49.1758046943759,0.522195305624059,"control","2-wetting"
"27",0.0106991099835311,-47.8677597640722,18378.125,45.712,45.2280995881602,0.483900411839826,"control","2-wetting"
"28",0.0106102414211073,-55.7763263231029,20844.385,51.846,51.301676823594,0.54432317640596,"control","2-wetting"
"29",0.0106329250666009,-53.757669609246,26619.695,66.211,65.5143903961339,0.696609603866122,"control","2-wetting"
"3",0.0193945430151487,725.953814643472,20911.225,47.678,46.7708997725049,0.907100227495057,"desorption","1-time-zero"
"30",0.0106189230496385,-55.0037332349795,21973.875,54.655,54.0807209853872,0.574279014612799,"control","2-wetting"
"31",0.0106159649293868,-55.2669814552961,28775.335,71.572,70.8201755005927,0.75182449940732,"control","4-drying-rewetting"
"31",0.0106159649293868,-55.2669814552961,26931.605,66.987,66.2833384040994,0.703661595900599,"control","4-drying-rewetting"
"32",0.0106232028025388,-54.6228706470776,22103.125,54.977,54.3991072513914,0.577892748608591,"control","4-drying-rewetting"
"33",0.0106343879938113,-53.6274811950417,24121.915,59.998,59.3666717784072,0.631328221592831,"control","4-drying-rewetting"
"34",0.0106236959031016,-54.5789887780008,21768.595,54.145,53.5758267092833,0.569173290716698,"control","4-drying-rewetting"
"35",0.0106778468218004,-49.7600051792867,23818.885,59.244,58.6180850666708,0.62591493332917,"control","4-drying-rewetting"
"36",0.0106336284537722,-53.6950739723948,18109.244,45.043,44.5690690788846,0.473930921115368,"priming","1-time-zero"
"37",0.0108264955066828,-36.5315024755015,12013.885,29.882,29.5619477059923,0.320052294007716,"priming","1-time-zero"
"38",0.0107010798380573,-47.6924590142155,16989.315,42.257,41.8095922157031,0.447407784296857,"priming","1-time-zero"
"39",0.0107553464678415,-42.8631780865446,15291.255,38.034,37.6292840131023,0.404715986897727,"priming","1-time-zero"
"4",0.0196554364414035,749.171170366068,24792.795,61.667,60.4782731460912,1.18872685390883,"desorption","1-time-zero"
"40",0.0106173423201338,-55.1444050784177,26889.365,66.881,66.1783616798593,0.702638320140693,"priming","1-time-zero"
"41",0.0292198478270287,1600.3246264153,26809.645,66.683,64.789850429708,1.89314957029201,"priming","2-wetting"
"41",0.0292198478270287,1600.3246264153,21260.865,52.882,51.3806647934829,1.50133520651714,"priming","2-wetting"
"42",0.0301552162397062,1683.56467381918,16813.725,41.821,40.596794871996,1.22420512800403,"priming","2-wetting"
"43",0.0303209166535775,1698.31063927895,22546.005,56.078,54.427702178597,1.65029782140299,"priming","2-wetting"
"45",0.0296947088414329,1642.58332663815,26563.015,60.564,58.817433439222,1.74656656077805,"priming","2-wetting"
"5",0.0201479221942904,792.998326447482,21198.545,43.939,43.071204718517,0.867795281483033,"desorption","1-time-zero"
"6",0.0152169040618049,354.178522898004,10358.905,25.766,25.3797980479957,0.386201952004331,"desorption","2-wetting"
"7",0.0188592147275574,678.314027548049,18593.125,46.246,45.3899806092112,0.856019390788781,"desorption","2-wetting"
"8",0.0192563118673038,713.652386518093,18469.325,45.938,45.0701157943681,0.867884205631853,"desorption","2-wetting"
"9",0.0190699940703672,697.071644599732,21215.995,52.77,51.7825078817464,0.987492118253641,"desorption","2-wetting"
