"core","weoc_mgg_A","weoc_mgg_B","weoc_mgg_C","sd","cv"
"1",0.0907,0.0656,0.0764,0.0126,0.1624
"10",0.0727,0.0681,0.0681,0.0026,0.0373
"11",0.0932,0.1,0.1074,0.0071,0.0709
"12",0.1383,0.108,0.1031,0.0191,0.164
"13",0.1128,0.1136,0.1112,0.0012,0.0107
"14",0.1069,0.1071,0.1017,0.0031,0.0295
"15",0.1086,0.1033,0.1012,0.0038,0.0364
"16",0.0823,0.0508,0.0481,0.019,0.3148
"17",0.1308,0.0553,0.0528,0.0444,0.5574
"18",0.0605,0.0434,0.0446,0.0095,0.1918
"19",0.0595,0.0439,0.0378,0.0112,0.2379
"2",0.0674,0.0489,0.0537,0.0096,0.1694
"20",0.07,0.0617,0.0576,0.0063,0.0999
"21",0.0892,0.0864,0.0726,0.0089,0.1075
"22",0.0915,0.0693,0.0732,0.0119,0.1526
"23",0.148,0.0795,0.0662,0.0439,0.4484
"24",0.1046,0.0981,0.0899,0.0074,0.0759
"25",0.0812,0.093,0.0759,0.0087,0.1044
"26",0.1169,0.0762,0.0548,0.0316,0.3823
"27",0.0695,0.056,0.0603,0.0069,0.1115
"28",0.0696,0.0664,0.112,0.0255,0.3085
"29",0.0912,0.0697,0.1081,0.0193,0.2153
"3",0.0399,0.0556,0.0478,0.0079,0.1654
"30",0.0784,0.0741,0.1624,0.0498,0.4745
"31",0.1033,0.0872,0.1153,0.0141,0.1383
"32",0.0993,0.0897,0.1133,0.0119,0.1181
"33",0.1126,0.0988,0.0925,0.0103,0.1017
"34",0.089,0.0939,0.1341,0.0248,0.2347
"35",0.0943,0.0996,0.0866,0.0065,0.0695
"36",0.0331,0.0229,0.0247,0.0054,0.2007
"37",0.0305,0.0263,0.0325,0.0032,0.1075
"38",0.0309,0.0273,0.0266,0.0023,0.0814
"39",0.0282,0.0245,0.0323,0.0039,0.1376
"4",0.0542,0.0557,0.0569,0.0014,0.0252
"40",0.0384,0.0301,0.0309,0.0046,0.1388
"41",0.0414,0.0383,0.0356,0.0029,0.0754
"42",0.0314,0.0372,0.0348,0.0029,0.0841
"43",0.0293,0.0276,0.0422,0.008,0.2421
"44",0.0424,0.0335,0.0371,0.0045,0.1194
"45",0.0361,0.0311,0.0319,0.0027,0.0817
"5",0.078,0.0491,0.0498,0.0165,0.2797
"6",0.0698,0.0576,0.0594,0.0066,0.1059
"7",0.0619,0.0781,0.0561,0.0114,0.1744
"8",0.0592,0.0609,0.0653,0.0032,0.0518
"9",0.0673,0.0631,0.0506,0.0087,0.1441
